keyword,list_greatfire_wikipedia,list_blockedweibo,list_cdt,list_line,list_skype,list_sina,list_gfw,machine_translation,human_translation,notes,agg_cattags,pinyin_tones,pinyin_notones,_theme,_category,CDT_translation,CDT_englishpost,CDT_combination,num_lists_appears_on,line_category,line_translation,line_notes,keyword_length,gfw_category
"10月24日到30日",0,0,0,0,1,0,0,"October 24 to 30, 2011","October 24-30","This is likely a reference to an incident in Inner Mongolia. An ethnic Han-Chinese truck driver killed a herder, who had been protesting against destruction of traditional grazing land, in Inner Mongolia. This sparked outrage and protests. The ","Inner Mongolia Protests","10yuè 24rì dào 30rì ","10yue 24ri dao 30ri ","events","innermongoliaprotests","","",,1,"","","",10,""
"11月5日至15日 出租车禁行",0,0,0,1,0,0,0,"November 5 to 15 taxi forbidden line","Nov 5 to 15 taxis banned","[No idea]","","","","","Context unclear","","",,1,"Context unclear","Nov 5 to 15 taxis banned","[No idea]",15,""
"12号院",0,0,0,0,1,0,0,"12 homes","Building No. 12","This could be a reference to forced demolitions in Beijing in the lead up to the 2008 Summer Olympics. For more information, please see: http://www.unhcr.org/refworld/docid/412dec764.html.","Forced Demolitions","12hào yuàn ","12hao yuan ","events","forceddemolitions","","",,1,"","","",4,""
"158名各界人士关于维吾尔",0,0,0,0,1,0,0,"158 all walks of life about the Uighur","158 names of people (petition) from all walks of life related to Uyghurs","This is related to the Internet petition calling for the release of Ilham Tohti on July 12, 2009. Within 24 hours, 158 cyber signatures were collected -- most of them from Han Chinese people. For more information, please see: http://www.rfa.org","Ethnic Groups","158míng gèjiè rénshì guānyú wéiwúěr ","158ming gejie renshi guanyu weiwuer ","political","ethnicgroupsuyghur","","",,1,"","","",13,""
"163.fm/S2DBd4D",0,0,0,0,0,1,0,"163.fm/S2DBd4D","","","URLs","163.fm/S2DBd4D","163.fm/S2DBd4D","technology","urls","","",,1,"","","",14,""
"163jipiao.com",0,0,0,0,0,1,0,"163jipiao.com","","","URLs","163jipiao.com","163jipiao.com","technology","urls","","",,1,"","","",13,""
"16大",0,0,0,0,0,1,0,"16 large","Sixteenth Party Congress","The 16th National Congress of the CPC was held on November 8-14, 2002 in Beijing. This marked the transition of power between Jiang Zemin and Hu Jintao. For more information, please see: http://en.wikipedia.org/wiki/16th_National_Congress_of_th","16th CPC National Congress (2002)","16dà ","16da ","events","thcpcnationalcongress2002","","",,1,"","","",3,""
"18+延期",0,0,1,0,0,0,0,"18 + extension","18 + postpone","","","","","","","18 + postpone","",0,1,"","","",5,""
"18大",0,0,0,1,1,0,0,"18 large","(short form for) 18th National Congress of the Communist Party of China","This is the leadership transition congress in the CPC that happens every ten years. Hu Jintao and Wen Jiabao are stepping down and handing power off to the next generation of leaders. For more information, please see: http://en.wikipedia.org/wi","18th CPC National Congress (2012)","18dà ","18da ","events","thcpcnationalcongress2012","","",,2,"18th CPC National Congress (2012)","18th National Congress"," became code word for the event because of homophone for 18大",3,""
"18大+薄",0,0,1,0,0,0,0,"18 big + thin","18big + Bo","","","","","","","18big + Bo","http://goo.gl/L9oO6",0,1,"","","",5,""
"18禁",0,1,0,0,0,1,0,"18 ban","","Sexual content","Prurient Interests","18jìn ","18jin ","social","prurientinterests","","",,2,"","","",3,""
"18禁成人游戏",0,0,0,0,1,0,0,"18 adult game ban","","","Prurient Interests","18jìn chéngrén yóuxì ","18jin chengren youxi ","social","prurientinterests","","",,1,"","","",7,""
"18禁情色电影",0,0,0,0,1,0,0,"18 ban erotic movie","18+ porn","Sexual content.","Prurient Interests","18jìn qíng sè diànyǐng ","18jin qing se dianying ","social","prurientinterests","","",,1,"","","",7,""
"18禁色情电影",0,0,0,0,1,0,0,"18 ban porn movies","18+ porn","Sexual content.","Prurient Interests","18jìn sèqíng diànyǐng ","18jin seqing dianying ","social","prurientinterests","","",,1,"","","",7,""
"18岁禁入",0,0,0,0,0,1,0,"18-year-old ban on entry","18 years +","Sexual content.","Prurient Interests","18suì jìn rù ","18sui jin ru ","social","prurientinterests","","",,1,"","","",5,""
"18岁情妇",0,0,1,0,0,0,0,"18-year-old mistress","18-year-old mistress","","","","","","","18-year-old mistress","http://goo.gl/duLCe",0,1,"","","",5,""
"1959年",1,0,0,0,0,0,0,"1959","","","","","","","","","",,1,"","","",5,""
"1989",0,1,1,0,0,0,0,"1989","1989","","","","","","","1989","",0,2,"","","",4,""
"198964",0,0,0,1,0,0,0,"198964","1989, June 4","","","","","","Tiananmen Square (June 4 1989)","","",,1,"Tiananmen Square (June 4 1989)","1989, June 4","",6,""
"1989年",1,0,0,0,0,0,1,"1989","","","","","","","Tiananmen","","",,2,"","","",5,"Tiananmen"
"1D专正",0,0,0,0,1,0,0,"1D are designed","(homonym) One party dictatorship","For more information on the CPC and its policies of one-party rule, please see: http://en.wikipedia.org/wiki/Communist_Party_of_China.","Communist Party of China (CPC)","1Dzhuān zhèng ","1Dzhuan zheng ","political","communistpartyofchinacpccriticis","","",,1,"","","",4,""
"1玖8玖",0,0,0,0,0,1,0,"1 8 Jiu Jiu","(homonym) 1989","For more information on the 1989 democracy movement in China, please see: http://en.wikipedia.org/wiki/Chinese_democracy_movement.","Tiananmen Square (June 4 1989)","1jiǔ 8jiǔ ","1jiu 8jiu ","events","tiananmensquarejune41989","","",,1,"","","",4,""
"1元假硬币",0,0,0,0,1,0,0,"One yuan coins","Counterfeit 1 yuan coins","","Illicit Goods and Services","1yuán jiǎ yìngbì ","1yuan jia yingbi ","social","illicitgoodsandservices","","",,1,"","","",5,""
"2.7b",0,0,1,0,0,0,0,"2.7b","2.7b","","","","","","","2.7b","http://goo.gl/bRjhv",0,1,"","","",4,""
"200+活埋",0,0,1,0,0,0,0,"200 + buried alive","200 + bury alive","","","","","","","200 + bury alive","",0,1,"","","",6,""
"2000+大禹治水",0,0,1,0,0,0,0,"2000 + Dayu","2000 + Yu the Great Controls the Waters","","","","","","","2000 + Yu the Great Controls the Waters","http://goo.gl/f8P36",0,1,"","","",9,""
"2008uce.com.cn",0,0,0,0,0,1,0,"2008uce.com.cn","","","URLs","2008uce.com.cn","2008uce.com.cn","technology","urls","","",,1,"","","",14,""
"2011-yx.com",0,0,0,0,0,1,0,"2011-yx.com","","Unclear of context.","URLs","2011-yx.com","2011-yx.com","technology","urls","","",,1,"","","",11,""
"2011年陸豐烏坎事件",1,0,0,0,0,0,1,"2011 Lufeng Wukan","","","","","","","Event-2011","","",,2,"","","",11,"Event-2011"
"2011年甬台温铁路列车追尾",1,0,0,0,0,0,0,"2011 Ningbo-Taizhou-Wenzhou Railway train rear-end?","","","","","","","","","",,1,"","","",15,""
"2012年中国新版护照风波",1,0,0,0,0,0,0,"2012 Chinese new passport storm","","","","","","","","","",,1,"","","",13,""
"2012年中华人民共和国腐败案件",1,0,0,0,0,0,1,"2012 cases of corruption People's Republic of China","","","","","","","Government","","",,2,"","","",16,"Government"
"2013年《南方周末》新年特刊被删改事件",1,0,0,0,0,0,0,"2013 Southern Weekend New Year's special event is excision","","","","","","","","","",,1,"","","",20,""
"2013年雅安地震",1,0,0,0,0,0,0,"2013 earthquake in Ya'an","","","","","","","","","",,1,"","","",9,""
"20周年网络大会",0,0,0,0,0,1,0,"20th anniversary of the Network Conference","20th Anniversary Internet Meeting"," and crackdowns on political activists -- for more information, please see: http://www.telegraph.co.uk/news/worldnews/asia/china/5429152/China-begins-internet-blackout-ahead-of-Tiananmen-anniversary.html; http://www.unhcr.org/refworld/country,,","Tiananmen Square (June 4 1989)","20zhōunián wǎngluò dàhuì ","20zhounian wangluo dahui ","events","tiananmensquarejune41989","","",,1,"","","",8,""
"21世纪成人在线",0,0,0,0,0,1,0,"21st Century Adult Online","","Likely sexual content.","Prurient Interests","21shìjì chéngrén zàixiàn ","21shiji chengren zaixian ","social","prurientinterests","","",,1,"","","",8,""
"22号院",0,0,0,0,1,0,0,"No. 22","Building No. 22","This could be a reference to forced demolitions in Beijing in the lead up to the 2008 Summer Olympics. For more information, please see: http://www.unhcr.org/refworld/docid/412dec764.html.","Forced Demolitions","22hào yuàn ","22hao yuan ","events","forceddemolitions","","",,1,"","","",4,""
"22周年",0,0,1,0,1,0,0,"22 anniversary","22 year anniversary","This is likely an anniversary for the Tiananmen Square crackdown on June 4, 1989. The term appeared first in 2011 (the 22nd anniversary of 1989).","Tiananmen Square (June 4 1989)","22zhōunián ","22zhounian ","events","tiananmensquarejune41989","22-year anniversary","",0,2,"","","",4,""
"23",0,0,1,0,0,0,0,"Twenty three","23","","","","","","","23","http://goo.gl/PvbxE",0,1,"","","",2,""
"2453605542",0,0,0,0,0,1,0,"2453605542","","Unclear the context. However, this could be a reference to illicit use/buying/cracking of telephone numbers.","Illicit Goods and Services","2453605542","2453605542","social","illicitgoodsandservices","","",,1,"","","",10,""
"24集团军",0,0,0,0,1,0,0,"24 Army","","Elements of this army group were deployed to suppress student protesters on June 4, 1989 at Tiananmen Square. The troops of this group helped maintain and carry out martial law orders in Beijing in May 1989. For more information, please see: ht","Tiananmen Square (June 4 1989)","24jítuán jūn ","24jituan jun ","events","tiananmensquarejune41989","","",,1,"","","",5,""
"24年",0,0,1,0,0,0,0,"24 years","24 years","","","","","","","24 years","http://goo.gl/Kd51L",0,1,"","","",3,""
"24人通缉令",0,0,0,0,0,1,0,"24 arrest warrants","","Unclear of context, but likely related to democracy movement or Tiananmen Square crackdown or with Liu Xiaobo.","Democracy (Chinese Democracy Movement)","24rén tōngjī lìng ","24ren tongji ling ","political","democracychinesedemocracymovemen","","",,1,"","","",6,""
"24周年",0,0,1,0,0,0,0,"24 anniversary","24th anniversary","","","","","","","24th anniversary","http://goo.gl/ARhOc",0,1,"","","",4,""
"2525245.cn",0,0,0,0,0,1,0,"2525245.cn","","","URLs","2525245.cn","2525245.cn","technology","urls","","",,1,"","","",10,""
"258个月",0,0,0,0,0,1,0,"258 months","258 months (21.5 years)","Unclear, but this could be a reference to June 4, 1989. Looking back at the around the date this term first appeared (likely early 2011) and subtract 258 months, the date is approximately June/July 1989.","Tiananmen Square (June 4 1989)","258gè yuè ","258ge yue ","events","tiananmensquarejune41989","","",,1,"","","",5,""
"25years",0,0,1,0,0,0,0,"25years","25years","","","","","","","25years","http://wp.me/p2pAV0-J53",0,1,"","","",7,""
"25年",0,0,1,0,0,0,0,"25 years","25 years","","","","","","","25 years","http://wp.me/p2pAV0-J53",0,1,"","","",3,""
"25周年",0,0,1,0,0,0,0,"25th Anniversary","25th anniversary","","","","","","","25th anniversary","http://goo.gl/EmPe2",0,1,"","","",4,""
"25周年纪念",0,0,1,0,0,0,0,"25th Anniversary","25th anniversary commemoration","","","","","","","25th anniversary commemoration","http://wp.me/p2pAV0-IJz",0,1,"","","",6,""
"27+美元",0,0,1,0,0,0,0,"27 + USD","27 + U.S. dollars","","","","","","","27 + U.S. dollars","http://goo.gl/bRjhv",0,1,"","","",5,""
"27亿",0,0,1,0,0,0,0,"2700000000","2.7 billion","","","","","","","2.7 billion","http://goo.gl/E6X18",0,1,"","","",3,""
"289",0,0,1,0,0,0,0,"289","289","","","","","","","289","http://goo.gl/lYSwV",0,1,"","","",3,""
"2B",0,0,0,0,1,0,0,"2B","","","Prurient Interests","2B","2B","social","prurientinterests","","",,1,"","","",2,""
"2的6次方",0,0,0,0,0,1,0,"2 ^ 6","2 ^ 6 (2 to the power of 6) = 64","This is a meme for June 4, 1989 Tiananmen Square crackdown.","Tiananmen Square (June 4 1989)","2de 6cì fāng ","2de 6ci fang ","events","tiananmensquarejune41989","","",,1,"","","",5,""
"3.14",0,0,0,0,1,0,0,"3.14","","Unclear of context, but likely related to Tianamen Square crackdown in June 1989.","Tiananmen Square (June 4 1989)","3.14","3.14","events","tiananmensquarejune41989","","",,1,"","","",4,""
"3.2x2",0,0,0,0,1,0,0,"3.2x2","","Reference to June 4, 1989.","Tiananmen Square (June 4 1989)","3.2x2","3.2x2","events","tiananmensquarejune41989","","",,1,"","","",5,""
"301",0,0,1,0,0,0,0,"301","301","","","","","","","301","",0,1,"","","",3,""
"319政变",0,0,0,1,0,0,0,"319 coup","March 19 Coup","refers to rumored coup by supporters of Bo Xilai during March 2012","","","","","Bo Xilai Scandal","","",,1,"Bo Xilai Scandal","March 19 Coup","refers to rumored coup by supporters of Bo Xilai during March 2012",5,""
"32x2",0,0,0,0,1,0,0,"32x2","","Reference to June 4, 1989.","Tiananmen Square (June 4 1989)","32x2","32x2","events","tiananmensquarejune41989","","",,1,"","","",4,""
"35",0,0,1,0,0,0,0,"35","35","","","","","","","35","http://goo.gl/PvbxE",0,1,"","","",2,""
"35号院",0,0,0,0,1,0,0,"35 homes","Building No. 35","This could be a reference to forced demolitions in Beijing in the lead up to the 2008 Summer Olympics. For more information, please see: http://www.unhcr.org/refworld/docid/412dec764.html.","Forced Demolitions","35hào yuàn ","35hao yuan ","events","forceddemolitions","","",,1,"","","",4,""
"38军",0,0,1,1,1,0,0,"38 Jun","38th Army","This is a military formation of the PRC's People's Liberation Army. It participated in the Tiananmen Square crackdown in June 1989.","Tiananmen Square (June 4 1989)","38jūn ","38jun ","events","tiananmensquarejune41989","38th Army","",0,3,"Tiananmen Square (June 4 1989)","38th Army","One of the military units primarily ordered to clear Tiananmen Square. Commander of the unit, Xu Qinxian notably refused to do so and was relieved of his duties.",3,""
"38军＋贾",0,0,1,0,0,0,0,"38 Jun + Jia","38 military [divisions] + Jia","","","","","","","38 military [divisions] + Jia","http://wp.me/p2pAV0-Jyl",1,1,"","","",5,""
"3D成人电影",0,0,0,0,1,0,0,"3D adult movies","3D adult movies","Sexual content.","Prurient Interests","3Dchéngrén diànyǐng ","3Dchengren dianying ","social","prurientinterests","","",,1,"","","",6,""
"3P",0,0,0,0,0,1,0,"3P","Threesome","Sexual content.","Prurient Interests","3P","3P","social","prurientinterests","","",,1,"","","",2,""
"3P视频",0,0,0,0,1,0,0,"3P Video"," (three-some) video","Sexual content.","Prurient Interests","3Pshìpín ","3Pshipin ","social","prurientinterests","","",,1,"","","",4,""
"3ee.cc",0,0,0,0,0,1,0,"3ee.cc","","This appear to be a website that helps with creating a website, provides information about domain name use, hackers, promotion of websites, etc.","URLs","3ee.cc","3ee.cc","technology","urls","","",,1,"","","",6,""
"3号套餐",0,1,0,0,1,0,0,"The 3rd Package","Combo number 3"," (see: http://en.wikipedia.org/wiki/2011_Chinese_pro-democracy_protests). Combo number 3 is a code for actions netizens were to take: walking, watching, eating and laughing three times.  For more info, please see: http://www.huaren.us/dispbbs.a","Jasmine Revolution","3hào tào cān ","3hao tao can ","events","jasminerevolution","","",,2,"","","",4,""
"3人被甩出",0,0,0,0,1,0,0,"3 people were thrown","Three people were thrown out","Reference to the Beijing Ferrari accident on March 2012. Please see: http://m.theglobeandmail.com/news/world/worldview/secrecy-of-mysterious-ferrari-crash-fuels-speculation-in-beijing/article2374905/?service=mobile.","Ferrari Crash (March 2012)","3rén bèi shuǎi chū ","3ren bei shuai chu ","events","ferraricrashmarch2012","","",,1,"","","",5,""
"3月13日",0,1,1,0,0,0,0,"March 13","March 13th","","","","","","","March 13th","",0,2,"","","",5,""
"3月17日重庆人民大礼堂",0,0,0,0,1,0,0,"March 17 Chongqing People's Auditorium","March 17 -- Chongqing People's Grand Hall","In mid-March 2012, after Bo Xilai was ousted, announcements were posted online for people in Chongqing to show their support for Bo Xilai on March 17, 2012. For more information, please see: http://wangbingzhang.us/forum/wbz/messages/34644.html","Bo Xilai Scandal","3yuè 17rì chóngqìng rénmín dà lǐtáng ","3yue 17ri chongqing renmin da litang ","events","boxilaiscandal","","",,1,"","","",12,""
"3月20日",0,1,1,0,0,0,0,"March 20","March 20th","","","","","","","March 20th","",0,2,"","","",5,""
"3月6日集会",0,0,0,0,1,0,0,"March 6 rally",""," in the spring of 2011. There was a call online that on March 6, people gather in 35 major cities to protest against the Communist government. On March 6, there was heavy police presence in Beijing, Shanghai, Guangzhou, and Shenzhen -- major ci","Jasmine Revolution","3yuè 6rì jíhuì ","3yue 6ri jihui ","events","jasminerevolution","","",,1,"","","",6,""
"3唑仑",0,0,0,0,1,0,0,"3 alprazolam","","Alprazolam (brand name: Xanax) is a psychoactive drug used to treat anxiety disorders. For more information, please see: http://en.wikipedia.org/wiki/Alprazolam.","Illicit Goods and Services","3zuò lún ","3zuo lun ","social","illicitgoodsandservices","","",,1,"","","",3,""
"4",0,0,1,0,0,0,0,"4","4","","","","","","","4","http://goo.gl/PvbxE",0,1,"","","",1,""
"40804.com",0,0,0,0,0,1,0,"40804.com","","","URLs","40804.com","40804.com","technology","urls","","",,1,"","","",9,""
"45mm铅弹出售",0,0,0,0,1,0,0,"45mm pellet sell","","","Illicit Goods and Services","45mmqiān dàn chūshòu ","45mmqian dan chushou ","social","illicitgoodsandservices","","",,1,"","","",8,""
"47cr.com",0,0,0,0,0,1,0,"47cr.com",""," -- after putting the term in the browser.","URLs","47cr.com","47cr.com","technology","urls","","",,1,"","","",8,""
"484442.dp175.com",0,0,0,0,0,1,0,"484442.dp175.com","","","URLs","484442.dp175.com","484442.dp175.com","technology","urls","","",,1,"","","",16,""
"4月03日",0,1,0,0,0,0,0,"April 3","","","","","","","","","",,1,"","","",5,""
"4月3日",0,0,1,0,0,0,0,"April 3","April Third","","","","","","","April Third","",0,1,"","","",4,""
"500余人＋贾",0,0,1,0,0,0,0,"More than 500 people + Jia","over 500 people + Jia","","","","","","","over 500 people + Jia","http://wp.me/p2pAV0-Jyl",1,1,"","","",7,""
"512大地震",1,0,0,0,0,0,0,"512 Earthquake","","","","","","","","","",,1,"","","",6,""
"515se.net.ru",0,0,0,0,0,1,0,"515se.net.ru","","","URLs","515se.net.ru","515se.net.ru","technology","urls","","",,1,"","","",12,""
"5161w.cn",0,0,0,0,0,1,0,"5161w.cn","","","URLs","5161w.cn","5161w.cn","technology","urls","","",,1,"","","",8,""
"51ppu.cn",0,0,0,0,0,1,0,"51ppu.cn","","","URLs","51ppu.cn","51ppu.cn","technology","urls","","",,1,"","","",8,""
"51uc.k31.cn",0,0,0,0,0,1,0,"51uc.k31.cn","","","URLs","51uc.k31.cn","51uc.k31.cn","technology","urls","","",,1,"","","",11,""
"51uc.wapk.net",0,0,0,0,0,1,0,"51uc.wapk.net","","","URLs","51uc.wapk.net","51uc.wapk.net","technology","urls","","",,1,"","","",13,""
"54狗qq",0,0,0,0,1,0,0,"54 dogs qq","54 dog (gun) qq"," is a Chinese microblog website: www.qq.com.","Illicit Goods and Services","54gǒu qq","54gou qq","social","illicitgoodsandservices","","",,1,"","","",5,""
"54气狗QQ",0,0,0,0,1,0,0,"54 air dog QQ"," (air gun) QQ"," -- a semi-automatic from China. For more information, please see: http://en.wikipedia.org/wiki/Type_54_pistol.","Illicit Goods and Services","54qì gǒu QQ","54qi gou QQ","social","illicitgoodsandservices","","",,1,"","","",6,""
"54式",0,0,0,0,1,0,0,"54 style","54 style"," -- a semi-automatic from China. For more information, please see: http://en.wikipedia.org/wiki/Type_54_pistol.","Illicit Goods and Services","54shì ","54shi ","social","illicitgoodsandservices","","",,1,"","","",3,""
"54式 64式 手枪",0,0,0,0,1,0,0,"54 Type 64 pistol","54 style 64 style hand gun"," pistol, a semi-automatic originating in China. For more information, please see: http://en.wikipedia.org/wiki/Type_64_pistol.","Illicit Goods and Services","54shì  64shì  shǒuqiāng ","54shi  64shi  shouqiang ","social","illicitgoodsandservices","","",,1,"","","",10,""
"57kt.com",0,0,0,0,0,1,0,"57kt.com","","","URLs","57kt.com","57kt.com","technology","urls","","",,1,"","","",8,""
"57xj.com",0,0,0,0,1,0,0,"57xj.com","","","URLs","57xj.com","57xj.com","technology","urls","","",,1,"","","",8,""
"5M党",0,0,0,0,1,0,0,"5M party",""," For more information, please see: http://wang1977.blog.epochtimes.com/article/show?articleid=31444 (Chinese).","Censorship","5Mdǎng ","5Mdang ","political","censorshipcensorshipsurveillance","","",,1,"","","",3,""
"5iuc.cn-it.net",0,0,0,0,0,1,0,"5iuc.cn-it.net","","","URLs","5iuc.cn-it.net","5iuc.cn-it.net","technology","urls","","",,1,"","","",14,""
"5rb5b.com",0,0,0,0,0,1,0,"5rb5b.com","","","URLs","5rb5b.com","5rb5b.com","technology","urls","","",,1,"","","",9,""
"5毛党",0,0,0,0,1,0,0,"5 Hair Party"," (5 dimes party)"," For more information, please see: http://wang1977.blog.epochtimes.com/article/show?articleid=31444 (Chinese).","Censorship","5máo dǎng ","5mao dang ","political","censorshipcensorshipsurveillance","","",,1,"","","",3,""
"5美分党",0,1,0,0,1,0,0,"5 cents Party","5 dime party (aka 5 Mao Party)"," For more information, please see: http://wang1977.blog.epochtimes.com/article/show?articleid=31444.","Censorship","5měi fēn dǎng ","5mei fen dang ","political","censorshipcensorshipsurveillance","","",,2,"","","",4,""
"5月35日",0,0,1,0,0,0,0,"May 35 May","May 35th","","","","","","","May 35th","",0,1,"","","",5,""
"5月4日+九眼桥+散步",0,0,1,0,0,0,0,"May 4 JiuYanqiao + walks +","May 4th+Jiuyan Bridge+take a walk","","","","","","","May 4th+Jiuyan Bridge+take a walk","http://goo.gl/EmPe2",0,1,"","","",11,""
"5月4日+散步",0,0,1,0,0,0,0,"May 4 + walks","May Fourth+take a walk","","","","","","","May Fourth+take a walk","http://goo.gl/eytd7",0,1,"","","",7,""
"5月4日+示威",0,0,1,0,0,0,0,"May 4 + protesters","May Fourth+demonstrate","","","","","","","May Fourth+demonstrate","http://goo.gl/eytd7",0,1,"","","",7,""
