keyword,_sensitivewords,_popularwords,list_greatfire_wikipedia,list_blockedweibo,list_cdt,list_line,list_skype,list_sina,list_gfw,list_google,list_sinashow,list_163,list_qq,list_condop,list_blogprovider,machine_translation,human_translation,notes,themeevents,thememisc,themepeople,themepolitical,themesocial,themetechnology,thcpcnationalcongress2002,thcpcnationalcongress2012,olympics,boxilaiscandal,business,cpcmembergovofficial,censorshipcensorshipsurveillance,censorshipcircumvention,charter08,china,chinasnationalday,chinesedoomsdaycultarrests,chinesesoftwarewebsites,communistpartyofchinacpccriticis,communistpartyofchinacpcgeneralc,companyname,contextunclear,corruptionscandals,democracychinesedemocracymovemen,detention,diaoyusenkakuislandsprotests,dissidentactivist,domesticrelationshongkong,domesticrelationstaiwan,ethnicgroupsgeneralethnic,ethnicgroupshui,ethnicgroupstibetan,ethnicgroupsuyghur,ferraricrashmarch2012,forceddemolitions,gambling,generictechnologyterms,googleleavingchina,government,humanrightsgeneralhumanrights,humanrightsorganizations,illicitgoodsandservices,innermongoliaprotests,internationalrelationssinojapane,internationalrelationsunitedstat,jasminerevolution,jiangzemindeathrumour,law,lottery,mediachineseindependentoppositio,mediachineseprogovernmentmedia,mediageneralmediaterms,mediainternationalmedia,nationalsecuritygeneralnationals,nationalsecuritymilitarypolice,occupymovement,oilpriceprotests,onlinegame,onlinenovels,personidentitycontextunclear,petitioningadministrativesystem,politicalpartiesnoncpc,protest,prurientinterests,relativesassociatesofgovernmento,religionchristianpracticeinchina,religionfalungong,religiongeneralreligion,sarsandotherdiseasesaidsavianflu,sichuanearthquake,sina,spyware,taintedmilkscandal,tiananmensquarejune41989,tibetanselfimmolations,urls,urumqiriots,victimsofcrimeviolentcriminals,wenzhoutraincrash,westernwebsitessocialmedia,agg_Sina_Skype_lists,agg_cattags,pinyin_tones,pinyin_notones,_theme,_category,CDT_translation,CDT_englishpost,CDT_combination,num_lists_appears_on,line_category,line_translation,line_notes,top_aug1_2013_ZHWikipedia_views,top_aug1_2013_ZHWikipedia,top1000_ZHWikipedia_views,top1000_ZHWikipedia,protected_ZHWikipedia,keyword_length,gfw_category
"*(^$",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"* (^ $","8964","Possible reference to June 4 1984",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Sina UC List 4;Sina UC List 5","Tiananmen Square (June 4 1989)","*(^$","*(^$","events","tiananmensquarejune41989","","",,1,"","","",,,,,,4,""
"-xu.com",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-xu.com","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4","URLs","-xu.com","-xu.com","technology","urls","","",,1,"","","",,,,,,7,""
"..\..\",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,".. \ .. \","","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sina UC List 4;Sina UC List 5","Context unclear","..\..\","..\..\","misc","contextunclear","","",,1,"","","",,,,,,6,""
".CN../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". CN .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".CN../",".CN../","technology","urls","","",,1,"","","",,,,,,6,""
".COM../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". COM .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".COM../",".COM../","technology","urls","","",,1,"","","",,,,,,7,""
".NET../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". NET .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".NET../",".NET../","technology","urls","","",,1,"","","",,,,,,7,""
".ORG../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". ORG .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".ORG../",".ORG../","technology","urls","","",,1,"","","",,,,,,7,""
".XX../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". XX .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".XX../",".XX../","technology","urls","","",,1,"","","",,,,,,6,""
".cn../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". cn .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".cn../",".cn../","technology","urls","","",,1,"","","",,,,,,6,""
".com../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". com .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".com../",".com../","technology","urls","","",,1,"","","",,,,,,7,""
".net../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". net .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".net../",".net../","technology","urls","","",,1,"","","",,,,,,7,""
".org../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". org .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".org../",".org../","technology","urls","","",,1,"","","",,,,,,7,""
".xx../",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,". xx .. /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 4;Sina UC List 5","URLs",".xx../",".xx../","technology","urls","","",,1,"","","",,,,,,6,""
"/2.gy/",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"/ 2.gy /","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 3;Sina UC List 4","URLs","/2.gy/","/2.gy/","technology","urls","","",,1,"","","",,,,,,6,""
"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",80,1,21347,1,,1,""
"028mmsm.com",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"028mmsm.com","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sina UC List 3;Sina UC List 4","URLs","028mmsm.com","028mmsm.com","technology","urls","","",,1,"","","",,,,,,11,""
"051B型驱逐舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"051B destroyer","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",14,1,,,,8,""
"051C型驱逐舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"051C destroyer","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",16,1,,,,8,""
"051型驱逐舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"051 destroyer","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",22,1,,,,7,""
"052B型驱逐舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"052B destroyer","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",15,1,,,,8,""
"052C型导弹驱逐舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"052C missile destroyer","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",11,1,,,,10,""
"052C型驱逐舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"052C destroyer","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",41,1,,,,8,""
"052D型驅逐艦",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"052D destroyer","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",108,1,22177,1,,8,""
"052型驱逐舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"052 destroyer","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",21,1,,,,7,""
"053H1型护卫舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"053H1 frigate","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",11,1,,,,9,""
"053H2G型护卫舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"053H2G frigate","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",14,1,,,,10,""
"053H3型护卫舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"053H3 frigate","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",14,1,,,,9,""
"054A型护卫舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"054A frigate","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",62,1,,,,8,""
"056型护卫舰",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"056 frigate","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",81,1,,,,7,""
"08.*宪章|宪章.*08",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,1,"","","",,,,,,13,""
"08xianzhang",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"08xianzhang","Charter 08","A manifesto signed by over 350 intellectuals, activists, and former party officials in 2008. It was modeled after the anti-soviet Charter 77 in Czechoslovakia in 1977. Liu Xiaobo was a major author and signatory, and the 08 charter was a major ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sina UC List 1;Sina UC List 2;Sina UC List 4","Charter 08","08xianzhang","08xianzhang","political","charter08","","",,1,"","","",,,,,,11,""
"08憲章",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Charter 08","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","Event-2008","","",,1,"","","",,,,,,4,"Event-2008"
"08县长",1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"08 county","Homonym for Charter 08","A manifesto signed by over 350 intellectuals, activists, and former party officials in 2008. It was modeled after the anti-soviet Charter 77 in Czechoslovakia in 1977. Liu Xiaobo was a major author and signatory, and the 08 charter was a major ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sina UC List 1;Sina UC List 2;Sina UC List 4","Charter 08","08xiànzhǎng ","08xianzhang ","political","charter08","08 county head (sounds like Charter 08)","",0,3,"","","",,,,,,4,""
"08宪章",1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,"Charter 08","Charter 08","A manifesto signed by over 350 intellectuals, activists, and former party officials in 2008. It was modeled after the anti-soviet Charter 77 in Czechoslovakia in 1977. Liu Xiaobo was a major author and signatory, and the 08 charter was a major ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sina UC List 1;Sina UC List 2;TOM-Skype 5.1 Surveillance-only","Charter 08","08xiànzhāng ","08xianzhang ","political","charter08","Charter 08","",0,6,"Charter 08","","document advocating political reform in ChIna",,,,,,4,"Event-2008"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,0,"","","",53,1,18237,1,,1,""
"1 3 0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,1,"","","",,,,,,,""
"1 3 3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","",,1,"","","",,,,,,,""
"1+3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 +3","","Unclear of context.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"TOM-Skype 5.1 Surveillance-only","Tiananmen Square (June 4 1989)","1+3","1+3","events","tiananmensquarejune41989","","",,1,"","","",,,,,,3,""
"1/9/8/9",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1/9/8/9","","Probably a reference to June 4 1989",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"TOM-Skype 5.1 Surveillance-only","Tiananmen Square (June 4 1989)","1/9/8/9","1/9/8/9","events","tiananmensquarejune41989","","",,1,"","","",,,,,,7,""
